Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
279.4366197,0,0.1,Stainless steel,5,2744237.67,47857410,0.05734196,240,230,201,328.6,257.6,276,307,256,143.2446393,230.4312317,429.0704837,282.8265581,490.9706615,230.4312317,279.4366197,279.4366197,325.64954
389.8591549,10.00105195,0.1,Stainless steel,5,2743238.835,47857410,0.057321089,315.0078897,290.0063117,281.0084156,387.5361992,334.6081001,373.010204,412.0110455,326.0073637,143.4561301,250.3879425,497.6515,316.2253262,490.9706615,250.3879425,389.8591549,389.8591549,459.09192
547.6056338,20.02618199,0.1,Stainless steel,5,2740826.507,47857410,0.057270682,390.1963649,350.1570919,361.2094559,446.6142905,411.8016013,470.2539653,517.2749109,396.1832739,143.6709267,270.5436194,566.6608201,349.7774803,490.9706615,270.5436194,547.6056338,547.6056338,548.859
671.5492958,29.88884343,0.1,Stainless steel,5,2736964.233,47857410,0.057189978,464.1663258,409.3330606,440.1107475,504.7349544,487.7440944,565.9217813,620.8328561,465.221904,143.8851506,290.508168,634.761162,382.8447526,490.9706615,290.508168,671.5492958,671.5492958,613.1293
727.8873239,39.84150546,0.1,Stainless steel,5,2731450.957,47857410,0.057074776,538.811291,469.0490328,519.7320437,563.3859917,564.3795921,662.462603,725.3358074,534.8905383,144.1044502,310.777957,703.6414867,416.2594766,490.9706615,310.777957,727.8873239,727.8873239,663.2757
275,0,0.1,Stainless steel,5,2744237.67,47857410,0.05734196,240,230,201,328.6,257.6,276,307,256,143.2446393,230.4312317,429.0704837,282.8265581,490.9706615,230.4312317,275,275,325.64954
275,0,0.1,Cu,5,2744237.67,1379121205,0.001989845,240,230,201,328.6,257.6,276,307,256,143.2446393,193.0642791,290.6835618,239.0573386,490.9706615,193.0642791,275,275,329.39545
295,0,0.1,Zr,5,2744237.67,23374985,0.117400617,240,230,201,328.6,257.6,276,307,256,143.2446393,275.3354217,674.2569516,338.0110986,490.9706615,275.3354217,295,295,334.7948
487.9065834,15.5,0.1,Zirconium,5,2742097.639,23374985,0.117309065,356.25,323,325,419.9415,376.95,426.35,469.75,364.5,143.5735917,327.8235802,871.6543399,410.1527002,490.9706615,327.8235802,487.9065834,487.9065834,533.61053
323.5688264,0,0.1,Zirconium,5,2744237.67,23374985,0.117400617,240,230,201,328.6,257.6,276,307,256,143.2446393,275.3354217,674.2569516,338.0110986,490.9706615,275.3354217,323.5688264,323.5688264,334.7948
551.0300113,0,0.5,Zirconium,5,2692469.331,23374985,0.115185928,240,230,201,328.6,257.6,276,307,256,343.9018814,796.3053912,1163.684569,897.4518838,504.2211103,275.3354217,323.8636364,323.8636364,338.76627
323.8636364,0,0.1,zirconium,5.1,2744237.67,23374985,0.117400617,240,230,201,328.6,257.6,276,307,256,143.2446393,275.3354217,674.2569516,338.0110986,490.9706615,275.3354217,330.0675454,330.0675454,338.76627
551.3636364,0,0.5,zirconium,5.1,2692469.331,23374985,0.115185928,240,230,201,328.6,257.6,276,307,256,343.9018814,796.3053912,1163.684569,897.4518838,504.2211103,326.1209443,493.1897174,493.1897174,533.6921
330.0675454,0,0.1,zirconium,5.1,2744237.67,23374985,0.117400617,240,230,201,328.6,257.6,276,307,256,143.2446393,275.3354217,674.2569516,338.0110986,490.9706615,294.6607535,434.5924323,434.5924323,447.86432
493.1897174,15,0.1,zirconium,5.1,2742219.445,23374985,0.117314276,352.5,320,321,416.995,373.1,421.5,464.5,361,143.5628758,326.1209443,865.2685523,407.8217982,490.9706615,354.3964263,596.1308938,596.1308938,608.14856
434.5924323,0,0.1,Zr2O,5.1,2744237.67,5168800,0.530923555,240,230,201,328.6,257.6,276,307,256,143.2446393,294.6607535,661.8096024,337.857063,490.9706615,294.6607535,433.0316742,433.0316742,447.86432
596.1308938,15,0.1,Zr2O,5.1,2742219.445,5168800,0.530533092,352.5,320,321,416.995,373.1,421.5,464.5,361,143.5628758,354.3964263,848.3511996,407.6128028,490.9706615,275.5615511,328.2973621,328.2973621,342.01273
433.0316742,0,0.1,Zr2O,5.1,2744237.67,5168800,0.530923555,240,230,201,328.6,257.6,276,307,256,143.2446393,294.6607535,661.8096024,337.857063,490.9706615,290.739893,341.4868106,341.4868106,417.78204
624.6606335,0,0.5,Zr2O,5.1,2692469.331,5168800,0.520908012,240,230,201,328.6,257.6,276,307,256,343.9018814,857.0344141,1144.468213,897.0140956,504.2211103,307.1104056,425.4196643,425.4196643,480.79062
326.8760686,0,0.098,Zirconium,5.15,2744187.933,23374985,0.11739849,240,230,201,328.6,257.6,276,307,256,141.8676238,271.7379428,664.3826617,332.0575625,490.9273036,326.2843188,487.7697842,487.7697842,536.3703
411.8092794,0,0.172,Zirconium,5.15,2739365.242,23374985,0.117192171,240,230,201,328.6,257.6,276,307,256,187.6939662,393.2963381,884.0254546,501.326618,492.6516112,343.0102377,530.9352518,530.9352518,575.30316
430.8289272,0,0.209,Zirconium,5.15,2734619.154,23374985,0.11698913,240,230,201,328.6,257.6,276,307,256,208.026425,447.4860184,941.3507936,563.6346024,493.6132635,361.6343469,564.5083933,564.5083933,612.0679
453.7798014,0,0.21,Zirconium,5.15,2734482.448,23374985,0.116983281,240,230,201,328.6,257.6,276,307,256,208.5598902,448.9043037,942.6801492,565.1987707,493.6402445,377.5508047,616.0671463,616.0671463,639.3515
469.8042291,0,0.246,Zirconium,5.15,2729388.831,23374985,0.116765373,240,230,201,328.6,257.6,276,307,256,227.3005883,498.5533658,985.2064218,618.2597031,494.6480113,210.4264422,264,264,322.3206
476.8729486,0,0.296,Zirconium,5.15,2722309.116,23374985,0.116462497,240,230,201,328.6,257.6,276,307,256,252.1137252,563.6361822,1032.500757,683.9053784,496.1723756,252.1011188,595,595,586.1093
493.8371266,0,0.298,Zirconium,5.15,2721726.272,23374985,0.116437562,240,230,201,328.6,257.6,276,307,256,253.0568134,566.0874044,1033.903822,686.2419588,496.2365452,286.5810023,348.5817774,372.9865,392.28058
490.8624986,0,0.309,Zirconium,5.15,2721016.492,23374985,0.116407197,240,230,201,328.6,257.6,276,307,256,258.4192611,580.2238227,1043.77915,700.0329291,496.5940563,292.6196674,360.0601979,399.6107,392.28058
511.9544643,0,0.392,Zirconium,5.15,2707891.356,23374985,0.115845694,240,230,201,328.6,257.6,276,307,256,296.7922413,678.5260324,1101.738364,792.3182849,499.5580033,304.5259181,362.6109581,388.961,399.90363
514.9665326,0,0.404,Zirconium,5.15,2706088.107,23374985,0.115768549,240,230,201,328.6,257.6,276,307,256,302.16559,692.1215702,1109.201613,804.7070803,500.028266,310.3975713,365.7994082,396.9482,402.7949
515.9886514,0,0.419,Zirconium,5.15,2703918.624,23374985,0.115675737,240,230,201,328.6,257.6,276,307,256,308.8332647,708.9441316,1118.331606,819.9364695,500.632027,274.321242,387.4808693,395.1733,414.11343
523.9933772,0,0.432,Zirconium,5.15,2703004.769,23374985,0.115636642,240,230,201,328.6,257.6,276,307,256,314.6478395,723.5630141,1126.815798,833.3081669,501.1699892,286.5810023,390.6693195,393.3984,419.62183
549.0577537,0,0.504,Zirconium,5.15,2692452.899,23374985,0.115185225,240,230,201,328.6,257.6,276,307,256,345.6455502,800.604938,1166.205493,901.3349677,504.4137031,274.321242,397.0462198,398.7232,424.35785
548.0768191,0,0.514,Zirconium,5.15,2690538.241,23374985,0.115103314,240,230,201,328.6,257.6,276,307,256,349.8205774,810.8697127,1170.985686,910.1553355,504.9019117,274.321242,421.916131,443.0968,432.29303
561.0610983,0,0.522,Zirconium,5.15,2689470.845,23374985,0.11505765,240,230,201,328.6,257.6,276,307,256,353.1883933,819.1406708,1175.122782,917.3471303,505.2994986,274.321242,418.7276808,526.5193,431.64066
554.1234197,0,0.55,Zirconium,5.15,2685638.378,23374985,0.114893694,240,230,201,328.6,257.6,276,307,256,364.8704546,847.678581,1189.194563,942.0262549,506.7417116,274.321242,413.6261606,531.8442,438.7273
570.2096238,0,0.623,Zirconium,5.15,2675989.397,23374985,0.114480903,240,230,201,328.6,257.6,276,307,256,394.7131359,919.7538011,1224.069457,1003.582639,510.9002594,232.1022254,379.0846172,491.9079,523.3251
328.2973621,0.067178503,0.1,Zirconium,5.15,2744235.415,23374985,0.117400521,240.5038388,230.403071,201.537428,328.9958829,258.1172745,276.6516315,307.7053743,256.4702495,143.246051,275.5615511,675.1097637,338.323205,490.9706615,276.5705673,372.9865,541.6064,538.43506
341.4868106,4.568138196,0.1,Zirconium,5.15,2743948.996,23374985,0.117388268,274.2610365,257.4088292,237.5451056,355.5200384,292.7746641,320.3109405,354.9654511,287.9769674,143.3409062,290.739893,732.3054092,359.2461027,490.9706615,276.5705673,399.6107,588.6424,551.37585
425.4196643,9.404990403,0.1,Zirconium,5.15,2743336.689,23374985,0.117362073,310.537428,286.4299424,276.2399232,384.0236084,330.0184261,367.2284069,405.7523992,321.8349328,143.4434489,307.1104056,793.8892353,381.7551113,490.9706615,277.6712909,388.961,616.1541,565.20886
487.7697842,15.04798464,0.1,Zirconium,5.15,2742207.914,23374985,0.117313783,352.8598848,320.2879079,321.3838772,417.2777735,373.4694818,421.9654511,465.0038388,361.3358925,143.5639039,326.2843188,865.8813441,408.0454833,490.9706615,278.0950714,396.9482,612.6042,591.55396
530.9352518,19.95201536,0.1,Zirconium,5.15,2740849.813,23374985,0.117255682,389.6401152,349.7120921,360.6161228,446.1772265,411.2305182,469.5345489,516.4961612,395.6641075,143.6693269,343.0102377,928.5603472,430.9168741,490.9706615,279.7906181,395.1733,648.9906,605.47217
564.5083933,25.39347409,0.1,Zirconium,5.15,2738915.131,23374985,0.117172915,430.4510557,382.3608445,404.1477927,478.2437428,453.1297505,522.3166987,573.6314779,433.7543186,143.7871384,361.6343469,998.218923,456.3179056,490.9706615,280.6386455,393.3984,631.2412,611.03784
616.0671463,30.02879079,0.1,Zirconium,5.15,2736898.245,23374985,0.117086631,465.2159309,410.1727447,441.2303263,505.5596641,488.8216891,567.2792706,622.3023033,466.2015355,143.888212,377.5508047,1057.638233,477.9728557,490.9706615,281.3808074,398.7232,657.8653,622.6185
322.0963,0,1.954,Platnium ,25,2544799.028,186163692,0.013669685,240,230,201,328.6,257.6,276,307,256,858.071653,1854.1809,1839.519417,1879.781514,667.9219345,282.6533869,443.0968,380.0862566,311.7051
320.345,0,1.846,Platnium ,25,2553420.05,186163692,0.013715994,240,230,201,328.6,257.6,276,307,256,824.0228112,1784.927076,1805.924735,1824.119498,648.6839144,282.5473232,526.5193,367.6616328,312.01303
316.8424,0,1.752,Platnium ,25,2561130.409,186163692,0.013757411,240,230,201,328.6,257.6,276,307,256,794.0171907,1723.649814,1776.220903,1774.549722,633.5500595,283.7141575,531.8442,405.8229773,332.97418
313.3398,0,1.658,Platnium ,25,2569047.801,186163692,0.01379994,240,230,201,328.6,257.6,276,307,256,763.6462314,1661.355356,1746.050903,1723.84959,619.7739723,301.3608909,491.9079,482.1456662,434.7851
306.3345,0,1.564512,Platnium ,25,2577142.8,186163692,0.013843423,240,230,201,328.6,257.6,276,307,256,733.0562679,1598.312074,1715.544405,1672.211532,607.298998,305.6236379,541.6064,491.9078706,481.41382
301.9562,0,1.452483,Platnium ,25,2587157.526,186163692,0.013897219,240,230,201,328.6,257.6,276,307,256,695.859002,1521.171002,1678.264842,1608.585149,593.8076377,309.6769628,588.6424,560.2433013,586.3436
296.7023,0,1.367375,Platnium ,25,2595014.218,186163692,0.013939422,240,230,201,328.6,257.6,276,307,256,667.1772862,1461.410172,1649.360753,1558.847864,584.5224243,314.481585,616.1541,600.1795921,666.546
293.1996,0,1.268783,Platnium ,25,2604408.419,186163692,0.013989884,240,230,201,328.6,257.6,276,307,256,633.4570298,1390.557973,1615.170962,1499.550989,574.709057,325.176221,612.6042,591.3048608,746.96643
293.1996,0,1.170129,Platnium ,25,2614151.829,186163692,0.014042222,240,230,201,328.6,257.6,276,307,256,599.1383397,1317.992769,1580.099686,1438.202712,565.8117235,331.7117494,648.9906,365.6401663,365.0459
283.5674,0,1.067162,Platnium ,25,2624724.962,186163692,0.014099016,240,230,201,328.6,257.6,276,307,256,562.6404619,1240.068678,1542.427702,1371.729809,554.4557759,334.500077,631.2412,367.4890686,369.5171
286.1944,0,0.968461,Platnium ,25,2635288.769,186163692,0.014155761,240,230,201,328.6,257.6,276,307,256,526.9292391,1162.994983,1505.097427,1305.311173,541.2385784,340.6184092,657.8653,364.4075647,371.4994
277.4378,0,0.865479,Platnium ,25,2646809.11,186163692,0.014217644,240,230,201,328.6,257.6,276,307,256,488.8121227,1079.830704,1464.582229,1232.6997,529.9425326,229.9444759,380.0862566,332.359924,371.4994
268.6813,0,0.798371,Platnium ,25,2654618.282,186163692,0.014259592,240,230,201,328.6,257.6,276,307,256,463.4406985,1023.812431,1437.116362,1183.247603,523.7284604,229.9685013,367.6616328,381.0476858,393.0141
258.1734,0,0.664031,Platnium ,25,2671051.471,186163692,0.014347865,240,230,201,328.6,257.6,276,307,256,411.1664707,906.7087405,1378.74897,1078.004114,513.5154309,231.6262786,405.8229773,384.1291898,386.72296
246.7898,0,0.579033,Platnium ,25,2682057.325,186163692,0.014406984,240,230,201,328.6,257.6,276,307,256,376.8704407,828.3573671,1338.563471,1005.994984,508.3240118,240.4249688,482.1456662,384.1291898,389.1501
238.0333,0,0.476051,Platnium ,25,2696078.311,186163692,0.014482299,240,230,201,328.6,257.6,276,307,256,333.7096004,727.9324601,1284.533995,911.0964098,503.0993749,244.9902171,491.9078706,443.9103657,418.33994
233.655,0,0.404381,Platnium ,25,2706279.936,186163692,0.014537099,240,230,201,328.6,257.6,276,307,256,302.3568099,653.5614057,1241.444935,838.3413568,500.0433807,257.2445999,560.2433013,443.9103657,465.36765
233.655,0,0.283304,Platnium ,25,2724097.26,186163692,0.014632806,240,230,201,328.6,257.6,276,307,256,245.9281172,516.7487632,1148.06447,695.7707318,495.7709004,270.0524348,600.1795921,473.4928032,499.82492
224.0228,0,0.189307,Platnium ,25,2737350.303,186163692,0.014703997,240,230,201,328.6,257.6,276,307,256,197.3681418,395.885553,1030.067837,553.7286763,493.0926688,291.5012564,591.3048608,494.4470298,483.95685
223.1471,0,0.108605,Platnium ,25,2744277.894,186163692,0.014741209,240,230,201,328.6,257.6,276,307,256,149.0598622,275.4751685,804.9178387,376.4701304,491.15918,211.5421411,365.6401663,553.6119049,501.0782
213.5149,0,0.032545,Platnium ,25,2717108.182,186163692,0.014595264,240,230,201,328.6,257.6,276,307,256,86.23792353,130.3846173,-397.5870335,-20.12923759,489.5990456,211.8149449,367.4890686,564.0890182,548.90533
218.9985,0,0.100877,Platnium ,25,2744245.481,186163692,0.014741035,240,230,201,328.6,257.6,276,307,256,143.851461,262.6721793,765.8965836,353.5946458,490.9897282,211.936205,364.4075647,567.1705221,573.53845
222.9489,0,0.192982,Platnium ,25,2736879.045,186163692,0.014701465,240,230,201,328.6,257.6,276,307,256,199.3841364,400.9735477,1036.278341,560.1591074,493.188285,211.936205,332.359924,592.4388542,613.00146
231.2437,0,0.298246,Platnium ,25,2721887.496,186163692,0.014620936,240,230,201,328.6,257.6,276,307,256,253.1918492,534.5435424,1161.824821,715.195789,496.2444556,213.2706283,381.0476858,610.9278777,616.2987
231.8455,0,0.407895,Platnium ,25,2705771.865,186163692,0.014534369,240,230,201,328.6,257.6,276,307,256,303.9240065,657.4546946,1243.704769,842.0693496,500.1833232,212.8762597,384.1291898,609.0789753,662.0303
237.2816,0,0.5,Platnium ,25,2692749.248,186163692,0.014464417,240,230,201,328.6,257.6,276,307,256,343.9271779,751.935766,1297.777468,934.0578485,504.2211103,213.0279293,384.1291898,406.42,423.38165
247.2515,0,0.592105,Platnium ,25,2680332.075,186163692,0.014397717,240,230,201,328.6,257.6,276,307,256,382.2157461,840.827915,1344.956801,1017.396567,509.0666793,214.9097329,443.9103657,355.42,371.20422
257.6288,0,0.679825,Platnium ,25,2669060.342,186163692,0.014337169,240,230,201,328.6,257.6,276,307,256,417.4266676,921.229983,1385.896591,1090.87442,514.5800898,218.3142378,443.9103657,297.43,315.32922
268.7149,0,0.789474,Platnium ,25,2655672.697,186163692,0.014265256,240,230,201,328.6,257.6,276,307,256,460.0425393,1016.272477,1433.401252,1176.549459,522.9648826,221.3289897,473.4928032,296.11,296.90274
276.5145,0,0.881579,Platnium ,25,2644972.168,186163692,0.014207777,240,230,201,328.6,257.6,276,307,256,494.8338937,1093.330612,1471.037444,1244.299549,531.5602485,219.8666627,494.4470298,410.48,423.38165
285.9224,0,0.97807,Platnium ,25,2634240.623,186163692,0.014150131,240,230,201,328.6,257.6,276,307,256,530.4395083,1170.603882,1508.790953,1311.905274,542.4148468,221.4509034,553.6119049,363.11,371.20422
284.1359,0,1.074561,Platnium ,25,2623950.528,186163692,0.014094857,240,230,201,328.6,257.6,276,307,256,565.287858,1245.703038,1545.175186,1376.597271,555.5545837,227.0982434,564.0890182,314.19,315.32922
291.8502,0,1.162281,Platnium ,25,2614942.666,186163692,0.01404647,240,230,201,328.6,257.6,276,307,256,596.3818212,1312.479111,1577.268973,1433.22827,565.1409088,231.1074432,567.1705221,304.08,296.90274
291.9236,0,1.27193,Platnium ,25,2604103.433,186163692,0.013988246,240,230,201,328.6,257.6,276,307,256,634.5419928,1393.306667,1616.274924,1501.473522,575.0075759,239.8274009,592.4388542,427.91,423.38165
297.5287,0,1.377193,Platnium ,25,2594096.317,186163692,0.013934491,240,230,201,328.6,257.6,276,307,256,670.5055573,1468.581209,1652.722652,1564.651331,585.5536796,240.6891534,610.9278777,353.5,371.20422
300.5008,0,1.473684,Platnium ,25,2585234.627,186163692,0.01388689,240,230,201,328.6,257.6,276,307,256,702.9456653,1535.900944,1685.384143,1620.781116,596.2462324,254.4005845,609.0789753,321.8,315.32922
304.3283,0,1.561404,Platnium ,25,2577415.893,186163692,0.01384489,240,230,201,328.6,257.6,276,307,256,732.0324398,1596.403511,1714.521132,1670.472828,606.903967,258.9014314,406.42,307.73,296.90274
313.2247,0,1.653509,Platnium ,25,2569431.507,186163692,0.013802001,240,230,201,328.6,257.6,276,307,256,762.1856973,1658.318422,1744.597179,1721.397471,619.1476549,249.2839006,355.42,430.3,419.04202
316.7273,0,1.767544,Platnium ,25,2559841.515,186163692,0.013750487,240,230,201,328.6,257.6,276,307,256,799.0036265,1734.094868,1781.164002,1782.822347,635.9554882,238.5543078,297.43,351.92,362.63245
320.3297,0,1.864035,Platnium ,25,2551963.215,186163692,0.013708168,240,230,201,328.6,257.6,276,307,256,829.739648,1796.564992,1811.573295,1833.507782,651.7537276,233.445393,296.11,307.21,320.72037
324.0504,0,1.960526,Platnium ,25,2544285.842,186163692,0.013666928,240,230,201,328.6,257.6,276,307,256,860.115055,1858.732505,1841.532043,1883.102999,669.1523235,258.0699223,430.3,305.4,297.90167
319.7685575,0,1.949738,Platnium ,41.6,2545134.644,186163692,0.013671488,240,230,201,328.6,257.6,276,307,256,856.7363008,1851.507827,1838.203969,1877.609803,667.1227156,247.740171,351.92,452.8,419.04202
312.6170582,0,1.757039,Platnium ,41.6,2560711.963,186163692,0.013755163,240,230,201,328.6,257.6,276,307,256,795.6347653,1726.93235,1777.824727,1777.234877,634.325751,239.7399512,307.21,367.68,362.63245
305.7688997,0,1.559871,Platnium ,41.6,2577550.691,186163692,0.013845614,240,230,201,328.6,257.6,276,307,256,731.5272771,1595.327505,1714.016187,1669.614687,606.7095722,233.8101344,305.4,333.41,320.72037
296.5931561,0,1.273095,Platnium ,41.6,2603990.617,186163692,0.01398764,240,230,201,328.6,257.6,276,307,256,634.9434909,1394.178191,1616.683383,1502.184714,575.1183242,258.0699223,452.8,311.96,297.90167
290.4038653,0,1.062553,Platnium ,41.6,2625208.566,186163692,0.014101614,240,230,201,328.6,257.6,276,307,256,560.9893269,1236.481061,1540.712859,1368.690272,557.0596375,247.740171,367.68,410.32,419.04202
261.8662746,0,0.766808,Platnium ,41.6,2658379.869,186163692,0.014279798,240,230,201,328.6,257.6,276,307,256,451.3469179,997.3035764,1423.850776,1159.324456,521.079303,239.7399512,333.41,356.29,362.63245
243.149181,0,0.57886,Platnium ,41.6,2682080.238,186163692,0.014407107,240,230,201,328.6,257.6,276,307,256,376.7995146,828.1940986,1338.478272,1005.843225,508.3143113,233.8101344,311.96,305.63,320.72037
