Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],p_ratio [-],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],Vdisp [m^3],Vratio [-],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],P_MLexper [kW],|||Flow|||,A_sa_suct [m^2],Cd_inlet [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW]
1,||||||,0.159159414,0.15956,-0.251056509,2.544718697,2.584113,-1.524480661,318.0876683,318.50719,-0.419521737,0.595951843,0.928883839,|||||,N2,Zerol,309.95877,236.70527,719.08413,0.910922071,366.5191,294.831,3.03788813,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.30018846,0.02748644,0.01826417,0,-0.03411409,328.9450896,0.001,||||||,2.544718697,2.192154737,0.38,0.861452678,|||||,0.38,0,0.38,0,0.39195826,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00002752,0.00000005,947,1.44766667,|||||,1.54444596,0.08467399,0.08009435,0.17623874,0.25691283,0.38
2,||||||,0.087494107,0.087494,0.000122276,2.413870877,2.423245,-0.386841743,321.7214959,322.11645,-0.394954144,0.645993017,0.967205797,|||||,N2,Zerol,306.87124,234.85361,714.14522,0.828216899,366.5191,295.22415,3.04081006,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2981716,0.0289556,0.01420512,0,-0.03836982,333.5939735,0.001,||||||,2.413870877,2.063123193,0.38,0.854694927,|||||,0.38,0,0.38,0,0.36012181,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000425,0.00000632,1491,2.27083333,|||||,1.58923,0.07116663,0.06944468,0.09778342,0.18307612,0.38
3,||||||,0.05280672,0.052752,0.103730877,2.359832833,2.343018,0.717657031,328.6484898,328.90011,-0.251620194,0.669689185,0.978308003,|||||,N2,Zerol,302.85103,234.95948,711.27825,0.706211792,366.5191,295.46904,3.027237931,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29471886,0.0310643,0.00997216,0,-0.04407076,339.5398011,0.001,||||||,2.359832833,2.011070142,0.38,0.85220873,|||||,0.38,0,0.38,0,0.33194786,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001209,0.0000027,2161,1.98716667,|||||,1.61325422,0.06455387,0.06436066,0.06235185,0.15405983,0.38
4,||||||,0.165365039,0.164802,0.34164575,3.540629645,3.590015,-1.375630887,326.7610941,327.32534,-0.564245894,0.645020977,0.944475243,|||||,N2,Zerol,315.73728,385.25902,1054.4985,0.860584415,366.5191,295.6639,2.737115668,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29949183,0.03054873,0.01254302,0,-0.03731251,332.9764119,0.001,||||||,3.540629645,3.191279188,0.38,0.90133098,|||||,0.38,0,0.38,0,0.39873581,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000016,0.00000858,1397,1.74716667,|||||,2.31502885,0.14865401,0.15108741,0.18990875,0.32416747,0.38
5,||||||,0.096872014,0.096729,0.147849895,3.373116611,3.403861,-0.903221052,331.9362769,332.4729,-0.536623093,0.684146711,0.961490866,|||||,N2,Zerol,312.63324,390.55352,1048.9673,0.748284964,366.5191,295.88229,2.685847768,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29774724,0.0333313,0.00780344,0,-0.0413105,337.1927944,0.001,||||||,3.373116611,3.026253424,0.38,0.897168338,|||||,0.38,0,0.38,0,0.37760758,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001475,0.00000788,2111,2.07566667,|||||,2.34248023,0.12889928,0.1342313,0.11437219,0.24943793,0.38
6,||||||,0.062718044,0.062646,0.115000967,3.320519651,3.29162,0.877976517,339.5971309,339.64802,-0.050889119,0.698595539,0.964607777,|||||,N2,Zerol,307.43833,390.00916,1042.348,0.601299092,366.5191,295.98744,2.672624407,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2948407,0.03694036,0.00239587,0,-0.04566537,341.6528104,0.001,||||||,3.320519651,2.977616978,0.38,0.896732226,|||||,0.38,0,0.38,0,0.31400302,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000026,0.00000208,2911,2.228,|||||,2.35941816,0.11850676,0.12557064,0.07938229,0.2185578,0.38
7,||||||,0.169001285,0.170765,-1.032831612,4.336850252,4.38538,-1.106625826,335.0320936,335.44439,-0.412296389,0.66131833,0.941010514,|||||,N2,Zerol,321.7077,524.03209,1330.3039,0.818452926,366.5191,296.24729,2.538592436,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29568206,0.03359894,0.00785565,0,-0.04228435,338.5316408,0.001,||||||,4.336850252,3.991024987,0.38,0.920258887,|||||,0.38,0,0.38,0,0.39435501,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000488,0.0000034,1841,2.36533333,|||||,2.90257635,0.20599619,0.21897516,0.19850379,0.38924115,0.38
8,||||||,0.104398504,0.105366,-0.918224189,4.157061667,4.192924,-0.85530606,340.4346648,340.74632,-0.311655156,0.691364127,0.949899624,|||||,N2,Zerol,317.892,534.27693,1323.5219,0.689606518,366.5191,296.47031,2.477220755,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29441572,0.03748887,0.00257815,0,-0.04548546,341.955769,0.001,||||||,4.157061667,3.814581245,0.38,0.917614784,|||||,0.38,0,0.38,0,0.37834276,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000501,0.00000473,2667,2.11116667,|||||,2.91341517,0.18143956,0.19703837,0.12731154,0.3156341,0.38
9,||||||,0.071484323,0.072044,-0.776854157,4.100168905,4.054164,1.13475687,348.288451,347.84008,0.44837104,0.703317043,0.94997067,|||||,N2,Zerol,312.30018,537.12516,1317.1545,0.533055714,366.5191,296.68619,2.452230128,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29190378,0.04231796,-0.00347056,0,-0.04905647,345.7426638,0.001,||||||,4.100168905,3.762681107,0.38,0.917689294,|||||,0.38,0,0.38,0,0.29148289,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.000013,0.00000494,3501,2.53233333,|||||,2.92956294,0.16767166,0.18530572,0.09383403,0.2841339,0.38
10,||||||,0.158862617,0.158287,0.363654258,2.596841267,2.656622,-2.250253648,319.8264196,320.38594,-0.559520424,0.592967166,0.924527253,|||||,N2,Zerol,311.58424,224.14663,739.11909,0.916351829,366.5191,297.61113,3.29748027,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.30048019,0.02743169,0.01858742,0,-0.03333449,330.9456239,0.001,||||||,2.596841267,2.244442734,0.38,0.864297238,|||||,0.38,0,0.38,0,0.41217927,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00010038,0.00000268,908,1.04333333,|||||,1.56770169,0.09246417,0.08554126,0.17525143,0.25745793,0.38
11,||||||,0.087770454,0.087775,-0.005179626,2.479643929,2.518035,-1.524644047,323.6378556,324.22882,-0.590964424,0.643656731,0.966055304,|||||,N2,Zerol,308.57409,225.42202,737.3338,0.836772788,366.5191,297.16802,3.270904058,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29830995,0.02885582,0.01418881,0,-0.03837062,335.5386368,0.001,||||||,2.479643929,2.128773465,0.38,0.858499658,|||||,0.38,0,0.38,0,0.38926154,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001705,0.00000988,1454,2.0105,|||||,1.62582633,0.07834089,0.07495826,0.09752546,0.187118,0.38
12,||||||,0.041131677,0.040854,0.679680835,2.431619495,2.414388,0.713700313,337.035531,337.52967,-0.494138983,0.671302745,0.979756386,|||||,N2,Zerol,301.76254,223.42198,735.04224,0.638890803,366.5191,297.28298,3.289928055,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29208776,0.03232566,0.0069551,0,-0.04847477,345.757748,0.001,||||||,2.431619495,2.084101267,0.38,0.857083632,|||||,0.38,0,0.38,0,0.33028673,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000582,0.00000404,2504,2.39966667,|||||,1.66731269,0.06910061,0.0680358,0.05035551,0.15363418,0.38
13,||||||,0.164215497,0.16391,0.186380937,4.016750164,4.054529,-0.931768797,336.7157487,337.26309,-0.547341343,0.658446856,0.944404373,|||||,N2,Zerol,324.26605,441.41329,1218.475,0.843293316,366.5191,302.82272,2.760394912,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29901476,0.03207616,0.01016553,0,-0.03870343,341.5261458,0.001,||||||,4.016750164,3.668862966,0.38,0.91339088,|||||,0.38,0,0.38,0,0.38566603,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000218,0.00000905,1593,2.47066667,|||||,2.67771849,0.18332878,0.18817506,0.19023401,0.34123179,0.38
14,||||||,0.099314846,0.099533,-0.219177196,3.763042616,3.793786,-0.81036158,337.8957545,338.37764,-0.481885507,0.687705631,0.957778441,|||||,N2,Zerol,317.01143,421.78086,1177.3507,0.739596534,366.5191,300.84517,2.791380102,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29868134,0.03469749,0.00575197,0,-0.04075728,341.602454,0.001,||||||,3.763042616,3.417850194,0.38,0.908267735,|||||,0.38,0,0.38,0,0.37593581,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000133,0.00000668,2227,2.19816667,|||||,2.62417104,0.16002512,0.16575054,0.11788045,0.26146627,0.38
15,||||||,0.064341521,0.06397,0.580773346,3.687152947,3.764522,-2.055215865,343.8232114,343.7637,0.05951135,0.700043924,0.96045544,|||||,N2,Zerol,309.05888,409.60882,1160.7551,0.59578979,366.5191,298.45333,2.833813735,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2964694,0.03849293,-0.00009426,0,-0.04529169,343.7450226,0.001,||||||,3.687152947,3.345486144,0.38,0.907335875,|||||,0.38,0,0.38,0,0.41903586,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000505,0.00000346,2984,2.042,|||||,2.62277731,0.14935933,0.1563078,0.08171896,0.22818832,0.38
16,||||||,0.166904395,0.168033,-0.671656536,4.660612625,4.695099,-0.734518591,340.4556951,340.5801,-0.124404864,0.666470126,0.939025353,|||||,N2,Zerol,326.0931,531.101,1435.9889,0.816537303,366.5191,305.7426,2.703796265,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.30043644,0.03472417,0.00687315,0,-0.03775129,343.493894,0.001,||||||,4.660612625,4.315548604,0.38,0.92596166,|||||,0.38,0,0.38,0,0.3795504,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000345,0.00000435,1892,1.8805,|||||,3.14192162,0.23955292,0.25099051,0.19589577,0.375691,0.38
17,||||||,0.104838205,0.105739,-0.851903858,4.448350296,4.47768,-0.655020089,346.2568263,346.56434,-0.307513687,0.694106374,0.947300972,|||||,N2,Zerol,322.48895,544.10157,1417.254,0.690616923,366.5191,305.07376,2.60475999,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29804313,0.03861827,0.00135885,0,-0.04197294,347.0467003,0.001,||||||,4.448350296,4.106974708,0.38,0.923257935,|||||,0.38,0,0.38,0,0.37070529,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000354,0.00000346,2695,2.13233333,|||||,3.12826836,0.20823457,0.22326163,0.12767987,0.31119997,0.38
18,||||||,0.069755675,0.070267,-0.7276882,4.262385144,4.224753,0.890753704,352.5930114,352.25254,0.34047141,0.704871099,0.949925939,|||||,N2,Zerol,314.79823,512.39065,1361.216,0.547183455,366.5191,304.3529,2.656598047,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29678341,0.04268747,-0.00429666,0,-0.04502889,349.3817851,0.001,||||||,4.262385144,3.924872089,0.38,0.920815918,|||||,0.38,0,0.38,0,0.29988091,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000393,0.00000534,3465,2.6295,|||||,3.05083033,0.18631397,0.20087961,0.09088263,0.26828896,0.38
19,||||||,0.160352199,0.15723,1.985752842,3.062013657,3.057306,0.153980576,332.0430104,332.58394,-0.540929629,0.622000051,0.937440989,|||||,N2,Zerol,322.62377,277.50237,895.66836,0.899482459,366.5191,295.9465,3.227606164,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2920644,0.02783859,0.0154654,0,-0.04460932,340.5558213,0.001,||||||,3.062013657,2.709873023,0.38,0.88499704,|||||,0.38,0,0.38,0,0.34743298,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00003504,0.0000009,1085,1.39983333,|||||,1.93292379,0.11941243,0.11341728,0.17910973,0.2798117,0.38
20,||||||,0.092712427,0.090883,2.012947596,2.936035984,2.908413,0.949761416,336.6362074,337.16714,-0.530932633,0.665637259,0.966429254,|||||,N2,Zerol,320.0313,284.49754,893.64765,0.811973767,366.5191,296.45861,3.141143681,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29067177,0.02979142,0.01096815,0,-0.0484171,344.8757101,0.001,||||||,2.936035984,2.58597677,0.38,0.880771484,|||||,0.38,0,0.38,0,0.32243623,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000334,0.00000178,1672,1.80416667,|||||,1.98518455,0.10276469,0.10064256,0.10506659,0.2114215,0.38
21,||||||,0.056981952,0.055851,2.024944986,2.8850517,2.826603,2.067807171,343.5435004,343.89799,-0.35448955,0.685479649,0.974275586,|||||,N2,Zerol,314.7657,285.43539,890.96072,0.683188066,366.5191,296.6887,3.121409437,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28866145,0.03258999,0.00599726,0,-0.05272161,349.4103121,0.001,||||||,2.8850517,2.537670181,0.38,0.879592619,|||||,0.38,0,0.38,0,0.28893282,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000483,0.00000258,2398,2.30616667,|||||,2.01234519,0.09473319,0.09456521,0.06841752,0.18317725,0.38
22,||||||,0.167299011,0.16425,1.856323342,3.909174106,3.8776,0.814269281,339.4322529,339.96987,-0.537617109,0.652155881,0.943277983,|||||,N2,Zerol,327.82392,395.57178,1177.4791,0.864003593,366.5191,296.93188,2.976650913,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29088625,0.03039308,0.01084885,0,-0.04769982,344.6316953,0.001,||||||,3.909174106,3.559735782,0.38,0.910610703,|||||,0.38,0,0.38,0,0.31786422,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000885,0.00000991,1419,1.54233333,|||||,2.58049931,0.17921323,0.17886923,0.19186228,0.3260716,0.38
23,||||||,0.100138034,0.098537,1.624805242,3.758932985,3.718738,1.080877033,344.7513483,345.22459,-0.473241701,0.686515051,0.959205792,|||||,N2,Zerol,324.67306,405.34323,1173.9518,0.757421128,366.5191,297.25271,2.896191951,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28968072,0.03337095,0.00570769,0,-0.05117983,348.4325449,0.001,||||||,3.758932985,3.412362746,0.38,0.9078009,|||||,0.38,0,0.38,0,0.30637525,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000244,0.00000534,2130,2.50616667,|||||,2.61538878,0.15763233,0.16109161,0.11765015,0.25688868,0.38
24,||||||,0.064677984,0.063631,1.645399101,3.707698914,3.626285,2.245105225,352.2561415,352.3584,-0.102258506,0.699973579,0.962010671,|||||,N2,Zerol,318.52179,406.49737,1167.4314,0.612251516,366.5191,297.36968,2.871928544,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28812832,0.03740623,-0.00027809,0,-0.05465713,352.0268117,0.001,||||||,3.707698914,3.365191661,0.38,0.90762269,|||||,0.38,0,0.38,0,0.26109334,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00001449,0.00000818,2952,1.87733333,|||||,2.63572129,0.14586704,0.1516951,0.0812812,0.22746008,0.38
25,||||||,0.172122838,0.17103,0.638974582,4.867380463,4.817338,1.038799093,347.0424277,347.45449,-0.412062251,0.66531482,0.937388511,|||||,N2,Zerol,332.85587,534.20694,1496.9148,0.825249988,366.5191,297.42258,2.802125334,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28833769,0.03387614,0.00567644,0,-0.05205835,349.480934,0.001,||||||,4.867380463,4.521305095,0.38,0.928899051,|||||,0.38,0,0.38,0,0.2960329,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000122,0.00000448,1850,2.437,|||||,3.27319817,0.25732343,0.26714803,0.20153485,0.3782159,0.38
26,||||||,0.10737226,0.107087,0.266381096,4.689816681,4.635517,1.171383487,352.9734827,353.14041,-0.166927336,0.693316066,0.945821316,|||||,N2,Zerol,329.11115,547.07818,1490.9699,0.703051376,366.5191,297.59089,2.72533242,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28706919,0.03799231,-0.00020582,0,-0.05526569,352.8565844,0.001,||||||,4.689816681,4.347687732,0.38,0.927048545,|||||,0.38,0,0.38,0,0.28782927,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000071,0.00000038,2654,2.17266667,|||||,3.29147714,0.22949767,0.24297432,0.12994439,0.30996076,0.38
27,||||||,0.073188194,0.072967,0.303142305,4.620210849,4.502601,2.612042439,361.2247386,360.62637,0.598368572,0.704206484,0.945811818,|||||,N2,Zerol,322.94378,550.54393,1478.7914,0.55013069,366.5191,297.80576,2.686055225,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.28477381,0.04317901,-0.00701272,0,-0.05843952,356.2452766,0.001,||||||,4.620210849,4.284015379,0.38,0.927233739,|||||,0.38,0,0.38,0,0.21858562,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00002527,0.00000847,3527,3.15533333,|||||,3.30047436,0.21140207,0.22778907,0.09508016,0.28134024,0.38
