Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_Mlexper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],|||Flow|||,A_sa_suct [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW]
1,||||||,0.159198438,0.15956,-0.226599463,2.442654726,2.584113,0.457617458,-5.474152019,317.7577516,318.50719,-0.749438446,0.621012254,0.929111422,|||||,N2,Zerol,309.95877,236.70527,719.08413,0.910922071,366.5191,294.831,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26657668,0.02747146,0.01735583,-1.#QNAN000,-0.03222625,327.05725,0.001,||||||,2.442654726,2.126495542,0.343900016,0.870567387,|||||,0.34390002,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00003631,0.00000683,970,1.62941667,|||||,1.54482437,0.07832435,0.07507625,0.17632085,0.20910775,0.34390002
2,||||||,0.087509297,0.087494,0.017483778,2.35126974,2.423245,0.392439091,-2.970201509,321.3515667,322.11645,-0.764883332,0.663022201,0.967387156,|||||,N2,Zerol,306.87124,234.85361,714.14522,0.828216899,366.5191,295.22415,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.27068903,0.02962996,0.0134851,-1.#QNAN000,-0.03628809,331.5122376,0.001,||||||,2.35126974,2.030805909,0.350250373,0.863706054,|||||,0.35025037,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000824,0.00000077,1514,2.31823333,|||||,1.58952755,0.06802485,0.06684522,0.09781608,0.15596732,0.35025037
3,||||||,0.052816731,0.052752,0.122707981,2.311714154,2.343018,0.351667468,-1.336048029,328.1706804,328.90011,-0.729429648,0.68328855,0.978533381,|||||,N2,Zerol,302.85103,234.95948,711.27825,0.706211792,366.5191,295.46904,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26971086,0.03215607,0.00904335,-1.#QNAN000,-0.04160843,337.0774692,0.001,||||||,2.311714154,1.991350532,0.352868794,0.861417286,|||||,0.35286879,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000587,0.00000261,2185,2.79843333,|||||,1.61362431,0.06271163,0.06277863,0.06240533,0.13635028,0.35286879
4,||||||,0.165470045,0.164802,0.405362397,3.356432198,3.590015,0.486250322,-6.506457542,326.1841598,327.32534,-1.141180233,0.682171586,0.945032489,|||||,N2,Zerol,315.73728,385.25902,1054.4985,0.860584415,366.5191,295.6639,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21295432,0.02613318,0.00635336,-1.#QNAN000,-0.03335762,329.021521,0.001,||||||,3.356432198,3.103764678,0.279044419,0.924721399,|||||,0.27904442,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001738,0.00000544,1416,2.64686667,|||||,2.31639718,0.13971523,0.14311286,0.1901317,0.26180259,0.27904442
5,||||||,0.096940834,0.096729,0.218996931,3.240094812,3.403861,0.42098247,-4.811189062,331.2013703,332.4729,-1.271529743,0.713843732,0.962108998,|||||,N2,Zerol,312.63324,390.55352,1048.9673,0.748284964,366.5191,295.88229,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21872875,0.02977681,0.00197082,-1.#QNAN000,-0.03651602,332.3983064,0.001,||||||,3.240094812,2.98287853,0.287066921,0.920614582,|||||,0.28706692,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000264,0.00000452,2121,2.4047,|||||,2.34398967,0.12369497,0.12934699,0.11454295,0.20730479,0.28706692
6,||||||,0.062780794,0.062646,0.215166988,3.19891778,3.29162,0.348472221,-2.816309904,338.4935311,339.64802,-1.154488898,0.72682893,0.96547693,|||||,N2,Zerol,307.43833,390.00916,1042.348,0.601299092,366.5191,295.98744,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21956301,0.03392863,-0.00355009,-1.#QNAN000,-0.0397586,335.7460394,0.001,||||||,3.19891778,2.943147779,0.289703617,0.920044834,|||||,0.28970362,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.0000091,0.00000346,2921,3.19323333,|||||,2.36155017,0.11494759,0.12207007,0.07955671,0.18530078,0.28970362
7,||||||,0.169177982,0.170765,-0.929357746,4.098366457,4.38538,0.487537763,-6.544781596,334.2947477,335.44439,-1.149642342,0.702481445,0.941920485,|||||,N2,Zerol,321.7077,524.03209,1330.3039,0.818452926,366.5191,296.24729,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.16605352,0.0256419,-0.00255118,-1.#QNAN000,-0.03702327,333.2705618,0.001,||||||,4.098366457,3.897842237,0.226346169,0.95107216,|||||,0.22634617,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000612,0.0000024,1851,2.70183333,|||||,2.90538845,0.19447679,0.20788316,0.19885607,0.3119386,0.22634617
8,||||||,0.104528935,0.105366,-0.794435598,3.962410425,4.192924,0.435787588,-5.49768073,339.4061448,340.74632,-1.340175171,0.728012238,0.950968589,|||||,N2,Zerol,317.892,534.27693,1323.5219,0.689606518,366.5191,296.47031,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.1735557,0.03048169,-0.00731952,-1.#QNAN000,-0.0390423,335.5126061,0.001,||||||,3.962410425,3.757136412,0.235683986,0.948194662,|||||,0.23568399,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00001591,0.0000051,2673,2.57318333,|||||,2.91670198,0.17387895,0.18939594,0.12763359,0.25678433,0.23568399
9,||||||,0.071606877,0.072044,-0.606744845,3.89926679,4.054164,0.359133517,-3.820694223,346.6000351,347.84008,-1.240044935,0.742483537,0.951420298,|||||,N2,Zerol,312.30018,537.12516,1317.1545,0.533055714,366.5191,296.68619,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.17630658,0.03590511,-0.01322318,-1.#QNAN000,-0.04116323,337.8494183,0.001,||||||,3.89926679,3.695030483,0.239805591,0.947621869,|||||,0.23980559,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000441,0.00000556,3528,3.9414,|||||,2.93404776,0.1620479,0.1793384,0.09415423,0.23209405,0.23980559
10,||||||,0.158898935,0.158287,0.386598152,2.50180399,2.656622,0.467599705,-5.827626573,319.5223808,320.38594,-0.863559222,0.615737867,0.924736062,|||||,N2,Zerol,311.58424,224.14663,739.11909,0.916351829,366.5191,297.61113,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26420226,0.02717048,0.01732597,-1.#QNAN000,-0.03125327,328.8643961,0.001,||||||,2.50180399,2.189022295,0.339750484,0.874977537,|||||,0.33975048,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00030334,0.0000003,940,1.73958333,|||||,1.56805587,0.08596332,0.08056765,0.1753308,0.2142661,0.33975048
11,||||||,0.087785506,0.087775,0.011968733,2.415740278,2.518035,0.418816822,-4.062482133,323.2663887,324.22882,-0.962431265,0.660648839,0.966228004,|||||,N2,Zerol,308.57409,225.42202,737.3338,0.836772788,366.5191,297.16802,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26740678,0.02921669,0.0131057,-1.#QNAN000,-0.03600803,333.1760476,0.001,||||||,2.415740278,2.099218178,0.345710254,0.868975112,|||||,0.34571025,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001253,0.00000194,1488,2.9375,|||||,1.62611672,0.07521831,0.07246496,0.09757728,0.16335491,0.34571025
12,||||||,0.041142686,0.040854,0.706628542,2.384636212,2.414388,0.343889499,-1.232270367,336.4390229,337.52967,-1.090647064,0.684341612,0.980062218,|||||,N2,Zerol,301.76254,223.42198,735.04224,0.638890803,366.5191,297.28298,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26354924,0.03321722,0.00536422,-1.#QNAN000,-0.0452236,342.5065843,0.001,||||||,2.384636212,2.070498501,0.34761621,0.868265981,|||||,0.34761621,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000139,0.00000494,2538,3.37551667,|||||,1.66783105,0.0677794,0.06696498,0.05040699,0.14219548,0.34761621
13,||||||,0.164346217,0.16391,0.266131745,3.812711679,4.054529,0.462888922,-5.964128529,336.0817272,337.26309,-1.181362769,0.695969328,0.945094685,|||||,N2,Zerol,324.26605,441.41329,1218.475,0.843293316,366.5191,302.82272,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.18601073,0.02548988,0.00126274,-1.#QNAN000,-0.03379753,336.6202532,0.001,||||||,3.812711679,3.591640078,0.246667003,0.942017226,|||||,0.246667,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000069,0.00000235,1620,2.45338333,|||||,2.67967996,0.17357182,0.17931739,0.19046767,0.2772845,0.246667
14,||||||,0.099396294,0.099533,-0.13734726,3.601111239,3.793786,0.42462169,-5.078693441,337.0278527,338.37764,-1.349787316,0.720690649,0.958472179,|||||,N2,Zerol,317.01143,421.78086,1177.3507,0.739596534,366.5191,300.84517,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.19911788,0.02942238,-0.0021205,-1.#QNAN000,-0.03495054,335.7957071,0.001,||||||,3.601111239,3.36916431,0.261431409,0.935590179,|||||,0.26143141,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000053,0.00000992,2246,3.51615,|||||,2.62607768,0.15440889,0.16053056,0.11809066,0.22011404,0.26143141
15,||||||,0.064416043,0.06397,0.697269729,3.536582045,3.764522,0.459938378,-6.054950798,342.4907941,343.7637,-1.272905902,0.732018442,0.961425384,|||||,N2,Zerol,309.05888,409.60882,1160.7551,0.59578979,366.5191,298.45333,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.2018874,0.03384758,-0.00796279,-1.#QNAN000,-0.03807842,336.5317484,0.001,||||||,3.536582045,3.304583622,0.265717249,0.934400384,|||||,0.26571725,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000335,0.00000514,3002,3.56223333,|||||,2.62543681,0.14584193,0.15291267,0.08192777,0.19756084,0.26571725
16,||||||,0.167080587,0.168033,-0.566801093,4.410821326,4.695099,0.463419797,-6.054774853,339.6842888,340.5801,-0.895811188,0.707096135,0.93993039,|||||,N2,Zerol,326.0931,531.101,1435.9889,0.816537303,366.5191,305.7426,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.1528003,0.02532074,-0.00543237,-1.#QNAN000,-0.03177758,337.5201824,0.001,||||||,4.410821326,4.231679203,0.204191376,0.959385767,|||||,0.20419138,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000334,0.00000395,1908,3.23723333,|||||,3.14495697,0.22798738,0.24007112,0.19631659,0.30506843,0.20419138
17,||||||,0.104969307,0.105739,-0.727917924,4.233208799,4.47768,0.430784349,-5.459773833,345.1396425,346.56434,-1.424697488,0.732261547,0.948350774,|||||,N2,Zerol,322.48895,544.10157,1417.254,0.690616923,366.5191,305.07376,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.16160184,0.03033542,-0.01006987,-1.#QNAN000,-0.034788,339.8617624,0.001,||||||,4.233208799,4.046895651,0.216454372,0.955987725,|||||,0.21645437,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000363,0.00000224,2708,3.06146667,|||||,3.13174581,0.20082736,0.21587935,0.12802139,0.25701342,0.21645437
18,||||||,0.069870054,0.070267,-0.56491032,4.060570528,4.224753,0.35723669,-3.886202871,350.8933524,352.25254,-1.359187557,0.742893379,0.95128359,|||||,N2,Zerol,314.79823,512.39065,1361.216,0.547183455,366.5191,304.3529,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.17177547,0.03553738,-0.01507978,-1.#QNAN000,-0.03637181,340.7247092,0.001,||||||,4.060570528,3.86751631,0.228358722,0.952456381,|||||,0.22835872,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000112,0.00000118,3452,4.26198333,|||||,3.05520855,0.18147865,0.19591095,0.09118747,0.22582875,0.22835872
19,||||||,0.160408296,0.15723,2.021431013,2.935243278,3.057306,0.406669392,-3.992492794,331.6504765,332.58394,-0.933463546,0.649897254,0.937747021,|||||,N2,Zerol,322.62377,277.50237,895.66836,0.899482459,366.5191,295.9465,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.231533,0.02547705,0.01160813,-1.#QNAN000,-0.04146293,337.4094296,0.001,||||||,2.935243278,2.650636608,0.309115861,0.903038132,|||||,0.30911586,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00005,0.00000717,1114,1.78541667,|||||,1.93355598,0.11228753,0.10772055,0.17923103,0.23391502,0.30911586
20,||||||,0.092745217,0.090883,2.049027195,2.833513943,2.908413,0.362609773,-2.57525521,336.0760433,337.16714,-1.091096726,0.690577943,0.966740315,|||||,N2,Zerol,320.0313,284.49754,893.64765,0.811973767,366.5191,296.45861,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.23560351,0.02806392,0.00744516,-1.#QNAN000,-0.04466006,341.118668,0.001,||||||,2.833513943,2.545803227,0.316073035,0.898461514,|||||,0.31607303,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001699,0.00000261,1704,1.89323333,|||||,1.98582491,0.0991235,0.09759804,0.10516008,0.18406703,0.31607303
21,||||||,0.057011072,0.055851,2.077083607,2.80089552,2.826603,0.312650871,-0.909483209,342.7679767,343.89799,-1.130013304,0.706885748,0.974732977,|||||,N2,Zerol,314.7657,285.43539,890.96072,0.683188066,366.5191,296.6887,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.23654815,0.03134537,0.00229253,-1.#QNAN000,-0.04810203,344.7907311,0.001,||||||,2.80089552,2.513952129,0.318186804,0.897552983,|||||,0.3181868,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000284,0.00000421,2426,2.8836,|||||,2.01329206,0.09259958,0.09274118,0.06851024,0.16501686,0.3181868
22,||||||,0.167407867,0.16425,1.922598023,3.71837899,3.8776,0.388405798,-4.106174173,338.8626511,339.96987,-1.107218871,0.687737279,0.943836783,|||||,N2,Zerol,327.82392,395.57178,1177.4791,0.864003593,366.5191,296.93188,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.18389731,0.02419119,0.00234341,-1.#QNAN000,-0.042943,339.8748838,0.001,||||||,3.71837899,3.489194202,0.253465732,0.938364328,|||||,0.25346573,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000488,0.0000009,1448,2.09191667,|||||,2.58203186,0.17006177,0.17090828,0.19215489,0.26962497,0.25346573
23,||||||,0.100210863,0.098537,1.698714956,3.606824499,3.718738,0.345074639,-3.009448399,343.9689767,345.22459,-1.255613299,0.717350563,0.959815404,|||||,N2,Zerol,324.67306,405.34323,1173.9518,0.757421128,366.5191,297.25271,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.1900695,0.02800789,-0.00229125,-1.#QNAN000,-0.0453839,342.6366127,0.001,||||||,3.606824499,3.373663361,0.261132834,0.935355563,|||||,0.26113283,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000965,0.00000796,2152,3.0599,|||||,2.61707697,0.15240306,0.15633946,0.1178546,0.21923231,0.26113283
24,||||||,0.064747751,0.063631,1.755042527,3.562046779,3.626285,0.295939539,-1.771460901,351.0101103,352.3584,-1.348289681,0.730785724,0.962909831,|||||,N2,Zerol,318.52179,406.49737,1167.4314,0.612251516,366.5191,297.36968,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.19257431,0.03259494,-0.00831938,-1.#QNAN000,-0.04745127,344.8209461,0.001,||||||,3.562046779,3.330345461,0.264007587,0.934952758,|||||,0.26400759,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00001932,0.0000054,2962,3.4099,|||||,2.63818329,0.14255285,0.14854203,0.08148651,0.19852312,0.26400759
25,||||||,0.172300782,0.17103,0.743016758,4.602260847,4.817338,0.382452619,-4.464647345,346.2643447,347.45449,-1.190145276,0.706647096,0.938268607,|||||,N2,Zerol,332.85587,534.20694,1496.9148,0.825249988,366.5191,297.42258,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.12949019,0.02342214,-0.00789463,-1.#QNAN000,-0.04578529,343.2078655,0.001,||||||,4.602260847,4.434885381,0.190705779,0.963631904,|||||,0.19070578,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000392,0.00000025,1883,2.9435,|||||,3.27627933,0.24570056,0.256294,0.20200158,0.31017734,0.19070578
26,||||||,0.107501111,0.107087,0.386704821,4.462391391,4.635517,0.345147507,-3.734763758,351.8464919,353.14041,-1.293918087,0.731659457,0.946812168,|||||,N2,Zerol,329.11115,547.07818,1490.9699,0.703051376,366.5191,297.59089,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.13752045,0.02851015,-0.01305721,-1.#QNAN000,-0.04756847,345.159363,0.001,||||||,4.462391391,4.290369493,0.200296447,0.961450737,|||||,0.20029645,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00001084,0.00000436,2696,3.2539,|||||,3.29493775,0.22229542,0.23591834,0.13029384,0.26001636,0.20029645
27,||||||,0.073314468,0.072967,0.476198903,4.389683222,4.502601,0.283892462,-2.507834438,359.3992455,360.62637,-1.227124503,0.74448823,0.947219979,|||||,N2,Zerol,322.94378,550.54393,1478.7914,0.55013069,366.5191,297.80576,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.14162269,0.03437437,-0.0196379,-1.#QNAN000,-0.04901076,346.8165234,0.001,||||||,4.389683222,4.218708538,0.205052163,0.961050792,|||||,0.20505216,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000935,0.00000743,3537,4.20235,|||||,3.30541024,0.20646499,0.22266628,0.09542979,0.23815251,0.20505216
